feature_family,task,m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy,wavelet,level,n,window_size_sec,method,min_window,threshold,multiscale,order,delay,window,nperseg,overlap_ratio
fuzzen,binary,2.0,0.2,0.68,0.6512595052369333,0.6819827500418133,0.0452155332208351,,,3.0,,,,,,,,,,
fuzzen,binary,2.0,0.3,0.8766666666666666,0.8624910907615411,0.8770701380974051,0.0290593262902711,,,1.0,,,,,,,,,,
fuzzen,binary,2.0,0.3,0.6633333333333333,0.6129081285368893,0.6577970435355727,0.0590668171555644,,,2.0,,,,,,,,,,
fuzzen,binary,2.0,0.3,0.7033333333333334,0.6691195079890733,0.7017576876707311,0.0371184290855334,,,3.0,,,,,,,,,,
fuzzen,binary,3.0,0.1,0.9566666666666668,0.9513749055536648,0.9567175100940666,0.0081649658092772,,,1.0,,,,,,,,,,
fuzzen,binary,3.0,0.1,0.8933333333333333,0.8741538563880293,0.8904593226126266,0.0226077666104175,,,2.0,,,,,,,,,,
fuzzen,binary,3.0,0.1,0.72,0.6906624649859945,0.7216769374416433,0.0266666666666666,,,3.0,,,,,,,,,,
fuzzen,binary,3.0,0.2,0.8833333333333332,0.8687931126856154,0.8830786211855555,0.0278886675511358,,,1.0,,,,,,,,,,
fuzzen,binary,3.0,0.2,0.8333333333333334,0.8071670207212375,0.8307772488495381,0.0380058475033045,,,2.0,,,,,,,,,,
fuzzen,binary,3.0,0.2,0.7,0.6625789494558291,0.6990305706558837,0.0316227766016837,,,3.0,,,,,,,,,,
fuzzen,binary,3.0,0.3,0.8333333333333334,0.8138224426394697,0.8335833388685465,0.0471404520791031,,,1.0,,,,,,,,,,
fuzzen,binary,3.0,0.3,0.7899999999999999,0.7651932585074015,0.7902026419351127,0.0388730126323019,,,2.0,,,,,,,,,,
fuzzen,binary,3.0,0.3,0.7566666666666666,0.725068628347071,0.7560296189374611,0.0489897948556635,,,3.0,,,,,,,,,,
fuzzen,five,1.0,0.1,0.436,0.4263066915962737,0.4263066915962737,0.0344093010681705,,,1.0,,,,,,,,,,
fuzzen,five,1.0,0.1,0.496,0.4951468734625304,0.4951468734625304,0.0402988833592197,,,2.0,,,,,,,,,,
fuzzen,five,1.0,0.1,0.522,0.5174742726426756,0.5174742726426756,0.0483321838943782,,,3.0,,,,,,,,,,
fuzzen,five,1.0,0.2,0.426,0.4212889256051631,0.4212889256051631,0.0463033476111609,,,1.0,,,,,,,,,,
fuzzen,five,1.0,0.2,0.48,0.4760555100069548,0.4760555100069547,0.0389871773792358,,,2.0,,,,,,,,,,
fuzzen,five,1.0,0.2,0.524,0.5201977151979571,0.520197715197957,0.0463033476111609,,,3.0,,,,,,,,,,
fuzzen,five,1.0,0.3,0.422,0.4170926839170552,0.4170926839170552,0.0263818119165458,,,1.0,,,,,,,,,,
fuzzen,five,1.0,0.3,0.486,0.4855011140296182,0.4855011140296182,0.0300665927567458,,,2.0,,,,,,,,,,
fuzzen,five,1.0,0.3,0.512,0.5084632474774636,0.5084632474774636,0.0526877594892779,,,3.0,,,,,,,,,,
fuzzen,five,2.0,0.1,0.418,0.4101681591973955,0.4101681591973955,0.0256124969497313,,,1.0,,,,,,,,,,
fuzzen,five,2.0,0.1,0.374,0.3638551429647968,0.3638551429647968,0.0361109401705355,,,2.0,,,,,,,,,,
